series_description,counts,cleaned_series_names
CINE_segmented_Ao_dist_InlineVF,90,
CINE_segmented_LAX,39,
CINE_segmented_LAX_2Ch,49421,2CH
CINE_segmented_LAX_3Ch,49647,3CH
CINE_segmented_LAX_3Ch_InlineVF,4,
CINE_segmented_LAX_4Ch,49577,4CH
CINE_segmented_LAX_4Ch_InlineVF,1,
CINE_segmented_LVOT,46747,LVOT
CINE_segmented_LVOT_S29_ND,1,
CINE_segmented_SAX,55,
CINE_segmented_SAX_b1,13738,SAX
CINE_segmented_SAX_b10,11658,SAX
CINE_segmented_SAX_b11,10346,SAX
CINE_segmented_SAX_b12,2726,SAX
CINE_segmented_SAX_b13,1522,SAX
CINE_segmented_SAX_b14,43,SAX
CINE_segmented_SAX_b15,8,SAX
CINE_segmented_SAX_b2,13716,SAX
CINE_segmented_SAX_b2s,2,
CINE_segmented_SAX_b3,13697,SAX
CINE_segmented_SAX_b4,13676,SAX
CINE_segmented_SAX_b5,13661,SAX
CINE_segmented_SAX_b6,13647,SAX
CINE_segmented_SAX_b7,13638,SAX
CINE_segmented_SAX_b8,13608,SAX
CINE_segmented_SAX_b8_InlineVF,2,
CINE_segmented_SAX_b9,13439,SAX
CINE_segmented_SAX_InlineVF,13603,
CINE_segmented_User1,32,
CINE_segmented_User2,7,
CINE_segmented_User4,1,
cine_tagging_3sl_SAX_b4,1,
cine_tagging_3sl_SAX_b6,1,
cine_tagging_3sl_SAX_b8,1,
Define_SAX,669,
Define_SAXs,46,
DefineLongaxis_3Ch_2Ch_4Ch,1,
DefineLongaxis_4Ch_2Ch_3Ch,4,
DefineLongaxis_4Ch_3Ch_2Ch,1,
Inline_VF_Results,13699,
